ID,Raw,Date,Data,Excel Date,
1413,"24th June 2013 @ The Joiners Arms, Southampton, UK",24th June 2013 ," The Joiners Arms, Southampton, UK",24/06/2013,
1414,"28th June 2013 @ Bravalla Festival, Norkoping, Sweden",28th June 2013 ," Bravalla Festival, Norkoping, Sweden",28/06/2013,
1415,"30th June 2013 @ Modern Body Art, Birmingham, UK",30th June 2013 ," Modern Body Art, Birmingham, UK",30/06/2013,
1416,"5th July 2013 @ Ottawa Blues Festival, Canada",5th July 2013 ," Ottawa Blues Festival, Canada",05/07/2013,
1417,"6th July 2013 @ Toronto Urban Roots Festival, Canada",6th July 2013 ," Toronto Urban Roots Festival, Canada",06/07/2013,
1418,"7th July 2013 @ Lees Palace, Toronto, ON, Canada",7th July 2013 ," Lees Palace, Toronto, ON, Canada",07/07/2013,
1419,"11th July 2013 @ The Cave, 2000 Trees Festival, Gloucestershire, UK",11th July 2013 ," The Cave, 2000 Trees Festival, Gloucestershire, UK",11/07/2013,
1420,"11th July 2013 @ Camp Reuben, 2000 Trees Festival, Gloucestershire, UK",11th July 2013 ," Camp Reuben, 2000 Trees Festival, Gloucestershire, UK",11/07/2013,
1421,"12th July 2013 @ Leaf Lounge, 2000 Trees Festival, Gloucestershire, UK",12th July 2013 ," Leaf Lounge, 2000 Trees Festival, Gloucestershire, UK",12/07/2013,
1422,"12th July 2013 @ Elly’s Tent, 2000 Trees Festival, Gloucestershire, UK",12th July 2013 ," Elly’s Tent, 2000 Trees Festival, Gloucestershire, UK",12/07/2013,
1423,"12th July 2013 @ Main Stage, 2000 Trees Festival, Gloucestershire, UK",12th July 2013 ," Main Stage, 2000 Trees Festival, Gloucestershire, UK",12/07/2013,
1424,"14th July 2013 @ T In The Park Festival, Kinross, UK",14th July 2013 ," T In The Park Festival, Kinross, UK",14/07/2013,
1425,"20th July 2013 @ Poolbar Festival, Feldkirch, Austria",20th July 2013 ," Poolbar Festival, Feldkirch, Austria",20/07/2013,
1426,"21st July 2013 @ Jarocin Festival, Jarocin, Poland",21st July 2013 ," Jarocin Festival, Jarocin, Poland",21/07/2013,
1427,"26th July 2013 @ The Chance Theater, Poughkeepsie, NY, USA",26th July 2013 ," The Chance Theater, Poughkeepsie, NY, USA",26/07/2013,
1428,"27th July 2013 @ Newport Folk Festival, RI, USA",27th July 2013 ," Newport Folk Festival, RI, USA",27/07/2013,
1429,"28th July 2013 @ Port City Music Hall, Portland, ME, USA",28th July 2013 ," Port City Music Hall, Portland, ME, USA",28/07/2013,
1430,"29th July 2013 @ Newbury Comics, Boston, MA, USA",29th July 2013 ," Newbury Comics, Boston, MA, USA",29/07/2013,
1431,"30th July 2013 @ Music Hall Of Williamsburg, Brooklyn, NY, USA",30th July 2013 ," Music Hall Of Williamsburg, Brooklyn, NY, USA",30/07/2013,
1432,"31st July 2013 @ Music Hall Of Williamsburg, Brooklyn, NY, USA",31st July 2013 ," Music Hall Of Williamsburg, Brooklyn, NY, USA",31/07/2013,
1433,"1st August 2013 @ The Fillmore, Silver Spring, MD, USA",1st August 2013 ," The Fillmore, Silver Spring, MD, USA",01/08/2013,
1434,"2nd August 2013 @ Higher Ground, Burlington, VT, USA",2nd August 2013 ," Higher Ground, Burlington, VT, USA",02/08/2013,
1435,"3rd August 2013 @ Osheaga Festival, Montreal, Canada",3rd August 2013 ," Osheaga Festival, Montreal, Canada",03/08/2013,
1436,"5th August 2013 @ The Blind Pig, Ann Arbor, MI, USA",5th August 2013 ," The Blind Pig, Ann Arbor, MI, USA",05/08/2013,
1437,"6th August 2013 @ The Majestic, Madison, WI, USA",6th August 2013 ," The Majestic, Madison, WI, USA",06/08/2013,
1438,"8th August 2013 @ College and 13th, Boulder, CO, USA",8th August 2013 ," College and 13th, Boulder, CO, USA",08/08/2013,
1439,"11th August 2013 @ Jurassic Rock Festival, Mikkeli, Finland",11th August 2013 ," Jurassic Rock Festival, Mikkeli, Finland",11/08/2013,
1440,"21st August 2013 @ Brixton Academy, London, UK",21st August 2013 ," Brixton Academy, London, UK",21/08/2013,
1441,"22nd August 2013 @ The Forum, Hatfield, UK",22nd August 2013 ," The Forum, Hatfield, UK",22/08/2013,
1442,"23rd August 2013 @ Reading Festival, UK",23rd August 2013 ," Reading Festival, UK",23/08/2013,
1443,"24th August 2013 @ Leeds Festival, UK",24th August 2013 ," Leeds Festival, UK",24/08/2013,
1444,"3rd September 2013 @ Doornroosje, Nijmegen, Netherlands",3rd September 2013 ," Doornroosje, Nijmegen, Netherlands",03/09/2013,
1445,"4th September 2013 @ Oosterpoort, Groningen, Netherlands",4th September 2013 ," Oosterpoort, Groningen, Netherlands",04/09/2013,
1446,"5th September 2013 @ FZW, Dortmund, Germany",5th September 2013 ," FZW, Dortmund, Germany",05/09/2013,
1447,"6th September 2013 @ Aladin, Bremen, Germany",6th September 2013 ," Aladin, Bremen, Germany",06/09/2013,
1448,"7th September 2013 @ Maimarketgelande, Mannheim, Germany",7th September 2013 ," Maimarketgelande, Mannheim, Germany",07/09/2013,
1449,"8th September 2013 @ Huxley’s, Berlin, Germany",8th September 2013 ," Huxley’s, Berlin, Germany",08/09/2013,
1450,"9th September 2013 @ Grosse Freiheit, Hamburg, Germany",9th September 2013 ," Grosse Freiheit, Hamburg, Germany",09/09/2013,
1451,"10th September 2013 @ Capitol, Hannover, Germany",10th September 2013 ," Capitol, Hannover, Germany",10/09/2013,
1452,"11th September 2013 @ Schlachthof, Wiesbaden, Germany",11th September 2013 ," Schlachthof, Wiesbaden, Germany",11/09/2013,
1453,"12th September 2013 @ Tonhalle, Munich, Germany",12th September 2013 ," Tonhalle, Munich, Germany",12/09/2013,
1454,"14th September 2013 @ Club Vaudeville, Lindau, Germany",14th September 2013 ," Club Vaudeville, Lindau, Germany",14/09/2013,
1455,"15th September 2013 @ Kasematten, Graz, Austria",15th September 2013 ," Kasematten, Graz, Austria",15/09/2013,
1456,"16th September 2013 @ Arena, Vienna, Austria",16th September 2013 ," Arena, Vienna, Austria",16/09/2013,
1457,"19th September 2013 @ Longhorn, Stuttgart, Germany",19th September 2013 ," Longhorn, Stuttgart, Germany",19/09/2013,
1458,"20th September 2013 @ E-Werk, Koln, Germany",20th September 2013 ," E-Werk, Koln, Germany",20/09/2013,
1459,"21st September 2013 @ Rockhal, Luxembourg",21st September 2013 ," Rockhal, Luxembourg",21/09/2013,
1460,"22nd September 2013 @ Efenaar, Eindhoven, Netherlands",22nd September 2013 ," Efenaar, Eindhoven, Netherlands",22/09/2013,
1461,"23rd September 2013 @ Tivoli, Utrecht, Netherlands",23rd September 2013 ," Tivoli, Utrecht, Netherlands",23/09/2013,
1462,"25th September 2013 @ Divan Du Monde, Paris, France",25th September 2013 ," Divan Du Monde, Paris, France",25/09/2013,
1463,"28th September 2013 @ The Venue, Derry, Northern Ireland",28th September 2013 ," The Venue, Derry, Northern Ireland",28/09/2013,
1464,"30th September 2013 @ The Monarch, Camden, London, UK",30th September 2013 ," The Monarch, Camden, London, UK",30/09/2013,
1465,"4th October 2013 @ Beachland Ballroom, Cleveland, OH, USA",4th October 2013 ," Beachland Ballroom, Cleveland, OH, USA",04/10/2013,
1466,"5th October 2013 @ The Intersection, Grand Rapids, MI, USA",5th October 2013 ," The Intersection, Grand Rapids, MI, USA",05/10/2013,
1467,"6th October 2013 @ Wooly’s, Des Moines, IA, USA",6th October 2013 ," Wooly’s, Des Moines, IA, USA",06/10/2013,
1468,"7th October 2013 @ The Waiting Room, Omaha, NE, USA",7th October 2013 ," The Waiting Room, Omaha, NE, USA",07/10/2013,
1469,"9th October 2013 @ The Ogden Theater, Denver, CO, USA",9th October 2013 ," The Ogden Theater, Denver, CO, USA",09/10/2013,
1470,"11th October 2013 @ Urban Lounge, Salt Lake City, UT, USA",11th October 2013 ," Urban Lounge, Salt Lake City, UT, USA",11/10/2013,
1471,"12th October 2013 @ Hard Rock Live, Las Vegas, NV, USA",12th October 2013 ," Hard Rock Live, Las Vegas, NV, USA",12/10/2013,
1472,"14th October 2013 @ Henry Fonda Theater, Los Angeles, CA, USA",14th October 2013 ," Henry Fonda Theater, Los Angeles, CA, USA",14/10/2013,
1473,"15th October 2013 @ House Of Blues, San Diego, CA, USA",15th October 2013 ," House Of Blues, San Diego, CA, USA",15/10/2013,
1474,"16th October 2013 @ The Fillmore, San Francisco, CA, USA",16th October 2013 ," The Fillmore, San Francisco, CA, USA",16/10/2013,
1475,"18th October 2013 @ The Neptune Theater, Seattle, WA, USA",18th October 2013 ," The Neptune Theater, Seattle, WA, USA",18/10/2013,
1476,"19th October 2013 @ The Wonder Ballroom, Portland, OR, USA",19th October 2013 ," The Wonder Ballroom, Portland, OR, USA",19/10/2013,
1477,"20th October 2013 @ The Commodore Ballroom, Vancouver, BC, Canada",20th October 2013 ," The Commodore Ballroom, Vancouver, BC, Canada",20/10/2013,
1478,"22nd October 2013 @ MacEwan Hall, Calgary, AB, Canada",22nd October 2013 ," MacEwan Hall, Calgary, AB, Canada",22/10/2013,
1479,"23rd October 2013 @ Union Hall, Edmonton, AB, Canada",23rd October 2013 ," Union Hall, Edmonton, AB, Canada",23/10/2013,
1480,"25th October 2013 @ Louis, Saskatoon, SK, Canada",25th October 2013 ," Louis, Saskatoon, SK, Canada",25/10/2013,
1481,"26th October 2013 @ The Garrick Center, Winnipeg, MB, Canada",26th October 2013 ," The Garrick Center, Winnipeg, MB, Canada",26/10/2013,
1482,"28th October 2013 @ The Varsity Theater, Minneapolis, MN, USA",28th October 2013 ," The Varsity Theater, Minneapolis, MN, USA",28/10/2013,
1483,"29th October 2013 @ Martyrs, Chicago, IL, USA",29th October 2013 ," Martyrs, Chicago, IL, USA",29/10/2013,
1484,"29th October 2013 @ The Vic Theater, Chicago, IL, USA",29th October 2013 ," The Vic Theater, Chicago, IL, USA",29/10/2013,
1485,"30th October 2013 @ The Blue Note, Columbia, MO, USA",30th October 2013 ," The Blue Note, Columbia, MO, USA",30/10/2013,
1486,"1st November 2013 @ The Granada Theater, Dallas, TX, USA",1st November 2013 ," The Granada Theater, Dallas, TX, USA",01/11/2013,
1487,"2nd November 2013 @ Mohawk Place, Austin, TX, USA",2nd November 2013 ," Mohawk Place, Austin, TX, USA",02/11/2013,
1488,"4th November 2013 @ Fitzgerald’s, Houston, TX, USA",4th November 2013 ," Fitzgerald’s, Houston, TX, USA",04/11/2013,
1489,"5th November 2013 @ Soul Kitchen, Mobile, AL, USA",5th November 2013 ," Soul Kitchen, Mobile, AL, USA",05/11/2013,
1490,"6th November 2013 @ Jack Rabbits, Jacksonville, FL, USA",6th November 2013 ," Jack Rabbits, Jacksonville, FL, USA",06/11/2013,
1491,"8th November 2013 @ The Culture Room, Fort Lauderdale, FL, USA",8th November 2013 ," The Culture Room, Fort Lauderdale, FL, USA",08/11/2013,
1492,"9th November 2013 @ Park Ave CDs, Orlando, FL, USA",9th November 2013 ," Park Ave CDs, Orlando, FL, USA",09/11/2013,
1493,"9th November 2013 @ The Beacham Theater, Orlando, FL, USA",9th November 2013 ," The Beacham Theater, Orlando, FL, USA",09/11/2013,
1494,"10th November 2013 @ Center Stage, Atlanta, GA, USA",10th November 2013 ," Center Stage, Atlanta, GA, USA",10/11/2013,
1495,"15th November 2013 @ Amos Southend, Charlotte, NC, USA",15th November 2013 ," Amos Southend, Charlotte, NC, USA",15/11/2013,
1496,"16th November 2013 @ The Norva, Norfolk, VA, USA",16th November 2013 ," The Norva, Norfolk, VA, USA",16/11/2013,
1497,"18th November 2013 @ The Orange Peel, Asheville, NC, USA",18th November 2013 ," The Orange Peel, Asheville, NC, USA",18/11/2013,
1498,"19th November 2013 @ The Jefferson Theater, Charlottesville, VA, USA",19th November 2013 ," The Jefferson Theater, Charlottesville, VA, USA",19/11/2013,
1499,"20th November 2013 @ The Taft Ballroom, Cincinnati, OH, USA",20th November 2013 ," The Taft Ballroom, Cincinnati, OH, USA",20/11/2013,
1500,"22nd November 2013 @ Great Lakes Coffee, Detroit, MI, USA",22nd November 2013 ," Great Lakes Coffee, Detroit, MI, USA",22/11/2013,
1501,"22nd November 2013 @ St Andrew’s Hall, Detroit, MI, USA",22nd November 2013 ," St Andrew’s Hall, Detroit, MI, USA",22/11/2013,
1502,"23rd November 2013 @ Town Ballroom, Buffalo, NY, USA",23rd November 2013 ," Town Ballroom, Buffalo, NY, USA",23/11/2013,
1503,"24th November 2013 @ Calvin Theater, Northampton, MA, USA",24th November 2013 ," Calvin Theater, Northampton, MA, USA",24/11/2013,
1504,"25th November 2013 @ Upstate Concert Hall, Clifton Park, NY, USA",25th November 2013 ," Upstate Concert Hall, Clifton Park, NY, USA",25/11/2013,
1505,"27th November 2013 @ Terminal 5, New York, NY, USA",27th November 2013 ," Terminal 5, New York, NY, USA",27/11/2013,
1506,"29th November 2013 @ Main Street Music, Manayunk, PA, USA",29th November 2013 ," Main Street Music, Manayunk, PA, USA",29/11/2013,
1507,"29th November 2013 @ Electric Factory, Philadelphia, PA, USA",29th November 2013 ," Electric Factory, Philadelphia, PA, USA",29/11/2013,
1508,"30th November 2013 @ House Of Blues, Boston, MA, USA",30th November 2013 ," House Of Blues, Boston, MA, USA",30/11/2013,
1509,"2nd December 2013 @ Ritual, Ottawa, ON, Canada",2nd December 2013 ," Ritual, Ottawa, ON, Canada",02/12/2013,
1510,"3rd December 2013 @ Sound Academy, Toronto, ON, Canada",3rd December 2013 ," Sound Academy, Toronto, ON, Canada",03/12/2013,
1511,"4th December 2013 @ London Music Hall, London, ON, Canada",4th December 2013 ," London Music Hall, London, ON, Canada",04/12/2013,
1512,"6th December 2013 @ Roseland Ballroom, Porland, OR, USA",6th December 2013 ," Roseland Ballroom, Porland, OR, USA",06/12/2013,
1513,"7th December 2013 @ Next Big Thing, Vinoy Park, St Petersburg, FL, USA",7th December 2013 ," Next Big Thing, Vinoy Park, St Petersburg, FL, USA",07/12/2013,
1514,"8th December 2013 @ Big Ticket, Metropolitan Park, Jacksonville, FL, USA",8th December 2013 ," Big Ticket, Metropolitan Park, Jacksonville, FL, USA",08/12/2013,
1515,"17th December 2013 @ Granary Square, London, UK",17th December 2013 ," Granary Square, London, UK",17/12/2013,
1516,"18th December 2013 @ Wilton’s Music Hall, London, UK",18th December 2013 ," Wilton’s Music Hall, London, UK",18/12/2013,
1517,"15th January 2014 @ The Flask, Highgate, London, UK",15th January 2014 ," The Flask, Highgate, London, UK",15/01/2014,
1518,"20th January 2014 @ The Hawley Arms, Camden, London, UK",20th January 2014 ," The Hawley Arms, Camden, London, UK",20/01/2014,
1519,"30th January 2014 @ Loco Club, Valencia, Spain",30th January 2014 ," Loco Club, Valencia, Spain",30/01/2014,
1520,"31st January 2014 @ Bikini, Barcelona, Spain",31st January 2014 ," Bikini, Barcelona, Spain",31/01/2014,
1521,"1st February 2014 @ Sala Arena, Madrid, Spain",1st February 2014 ," Sala Arena, Madrid, Spain",01/02/2014,
1522,"6th February 2014 @ Motorpoint Arena, Cardiff, UK",6th February 2014 ," Motorpoint Arena, Cardiff, UK",06/02/2014,
1523,"7th February 2014 @ Capital FM Arena, Nottingham, UK",7th February 2014 ," Capital FM Arena, Nottingham, UK",07/02/2014,
1524,"8th February 2014 @ Corn Exhange, Edinburgh, UK",8th February 2014 ," Corn Exhange, Edinburgh, UK",08/02/2014,
1525,"9th February 2014 @ Phones4U Arena, Manchester, UK",9th February 2014 ," Phones4U Arena, Manchester, UK",09/02/2014,
1526,"11th February 2014 @ Pavillions, Plymouth, UK",11th February 2014 ," Pavillions, Plymouth, UK",11/02/2014,
1527,"12th February 2014 @ O2 Arena, London, UK",12th February 2014 ," O2 Arena, London, UK",12/02/2014,
1528,"13th February 2014 @ Pie & Vinyl, Portsmouth, UK",13th February 2014 ," Pie & Vinyl, Portsmouth, UK",13/02/2014,
1529,"13th February 2014 @ The Guildhall, Portsmouth, UK",13th February 2014 ," The Guildhall, Portsmouth, UK",13/02/2014,
1530,"14th February 2014 @ The Guildhall, Winchester, UK",14th February 2014 ," The Guildhall, Winchester, UK",14/02/2014,
1531,"14th February 2014 @ The Railway Inn, Winchester, UK",14th February 2014 ," The Railway Inn, Winchester, UK",14/02/2014,
1532,"19th February 2014 @ The Melkweg, Amsterdam, Netherlands",19th February 2014 ," The Melkweg, Amsterdam, Netherlands",19/02/2014,
1533,"20th February 2014 @ Turbinhalle, Oberhausen, Germany",20th February 2014 ," Turbinhalle, Oberhausen, Germany",20/02/2014,
1534,"21st February 2014 @ Max, Kiel, Germany",21st February 2014 ," Max, Kiel, Germany",21/02/2014,
1535,"23rd February 2014 @ John Dee, Oslo, Norway",23rd February 2014 ," John Dee, Oslo, Norway",23/02/2014,
1536,"24th February 2014 @ Nosturi, Helsinki, Finland",24th February 2014 ," Nosturi, Helsinki, Finland",24/02/2014,
1537,"26th February 2014 @ Debaser, Stockholm, Sweden",26th February 2014 ," Debaser, Stockholm, Sweden",26/02/2014,
1538,"27th February 2014 @ Amager Bio, Copenhagen, Denmark",27th February 2014 ," Amager Bio, Copenhagen, Denmark",27/02/2014,
1539,"28th February 2014 @ The Docks, Hamburg, Germany",28th February 2014 ," The Docks, Hamburg, Germany",28/02/2014,
1540,"2nd March 2014 @ Proxima, Warsaw, Poland",2nd March 2014 ," Proxima, Warsaw, Poland",02/03/2014,
1541,"3rd March 2014 @ Conne Island, Leipzig, Germany",3rd March 2014 ," Conne Island, Leipzig, Germany",03/03/2014,
1542,"4th March 2014 @ Gasometer, Vienna, Austria",4th March 2014 ," Gasometer, Vienna, Austria",04/03/2014,
1543,"6th March 2014 @ A38, Budapest, Hungary",6th March 2014 ," A38, Budapest, Hungary",06/03/2014,
1544,"7th March 2014 @ Kino Siska, Ljubljana, Slovenia",7th March 2014 ," Kino Siska, Ljubljana, Slovenia",07/03/2014,
1545,"9th March 2014 @ Lucerna, Prague, Czech Republic",9th March 2014 ," Lucerna, Prague, Czech Republic",09/03/2014,
1546,"10th March 2014 @ Dynamo, Zurich, Switzerland",10th March 2014 ," Dynamo, Zurich, Switzerland",10/03/2014,
1547,"11th March 2014 @ Les Docks, Lausanne, Switzerland",11th March 2014 ," Les Docks, Lausanne, Switzerland",11/03/2014,
1548,"13th March 2014 @ Substage, Karlsruhe, Germany",13th March 2014 ," Substage, Karlsruhe, Germany",13/03/2014,
1549,"14th March 2014 @ Centralstation, Darmstadt, Germany",14th March 2014 ," Centralstation, Darmstadt, Germany",14/03/2014,
1550,"15th March 2014 @ Lit Cologne Festival, Depot 1, Cologne, Germany",15th March 2014 ," Lit Cologne Festival, Depot 1, Cologne, Germany",15/03/2014,
1551,"16th March 2014 @ E-Werk, Cologne, Germany",16th March 2014 ," E-Werk, Cologne, Germany",16/03/2014,
1552,"17th March 2014 @ Meier Music Hall, Braunschweig, Germany",17th March 2014 ," Meier Music Hall, Braunschweig, Germany",17/03/2014,
1553,"18th March 2014 @ Ringlokschuppen, Bielefeld, Germany",18th March 2014 ," Ringlokschuppen, Bielefeld, Germany",18/03/2014,
1554,"19th March 2014 @ Ancienne Belgique, Brussels, Belgium",19th March 2014 ," Ancienne Belgique, Brussels, Belgium",19/03/2014,
1555,"21st March 2014 @ Parklife Festival, Johannesburg, South Africa",21st March 2014 ," Parklife Festival, Johannesburg, South Africa",21/03/2014,
1556,"23rd March 2014 @ Mercury Lounge, Cape Town, South Africa",23rd March 2014 ," Mercury Lounge, Cape Town, South Africa",23/03/2014,
1557,"28th March 2014 @ ACM, Guildford, UK",28th March 2014 ," ACM, Guildford, UK",28/03/2014,
1558,"13th April 2014 @ Coachella Festival, Indio, CA, USA",13th April 2014 ," Coachella Festival, Indio, CA, USA",13/04/2014,
1559,"16th April 2014 @ The Press Room, Phoenix, AZ, USA",16th April 2014 ," The Press Room, Phoenix, AZ, USA",16/04/2014,
1560,"17th April 2014 @ The Rialto Theater, Tucson, AZ, USA",17th April 2014 ," The Rialto Theater, Tucson, AZ, USA",17/04/2014,
1561,"18th April 2014 @ The Orpheum, Flagstaff, AZ, USA",18th April 2014 ," The Orpheum, Flagstaff, AZ, USA",18/04/2014,
1562,"20th April 2014 @ Coachella Festival, Indio, CA, USA",20th April 2014 ," Coachella Festival, Indio, CA, USA",20/04/2014,
1563,"3rd May 2014 @ Leeds College Of Music, Leeds, UK",3rd May 2014 ," Leeds College Of Music, Leeds, UK",03/05/2014,
1564,"3rd May 2014 @ Santiagos, Leeds, UK",3rd May 2014 ," Santiagos, Leeds, UK",03/05/2014,
1565,"4th May 2014 @ The Railway Inn, Winchester, UK",4th May 2014 ," The Railway Inn, Winchester, UK",04/05/2014,
1566,"8th May 2014 @ The Corrib Rest, Kensal Green, London, UK",8th May 2014 ," The Corrib Rest, Kensal Green, London, UK",08/05/2014,
1567,"23rd May 2014 @ Ommegang Brewery, Cooperstown, NY, USA",23rd May 2014 ," Ommegang Brewery, Cooperstown, NY, USA",23/05/2014,
1568,"24th May 2014 @ Boston Calling Festival, Boston, MA, USA",24th May 2014 ," Boston Calling Festival, Boston, MA, USA",24/05/2014,
1569,"24th May 2014 @ The Sinclair, Cambridge, MA, USA",24th May 2014 ," The Sinclair, Cambridge, MA, USA",24/05/2014,
1570,"25th May 2014 @ The Sinclair, Cambridge, MA, USA",25th May 2014 ," The Sinclair, Cambridge, MA, USA",25/05/2014,
1571,"27th May 2014 @ Higher Ground, Burlington, VT, USA",27th May 2014 ," Higher Ground, Burlington, VT, USA",27/05/2014,
1572,"29th May 2014 @ Nelsonville Festival, Nelsonville, OH, USA",29th May 2014 ," Nelsonville Festival, Nelsonville, OH, USA",29/05/2014,
1573,"30th May 2014 @ The Bijou Theater, Knoxville, TN, USA",30th May 2014 ," The Bijou Theater, Knoxville, TN, USA",30/05/2014,
1574,"31st May 2014 @ Candler Park, Atlanta, GA, USA",31st May 2014 ," Candler Park, Atlanta, GA, USA",31/05/2014,
1575,"31st May 2014 @ Little Five Points, Atlanta, GA, USA",31st May 2014 ," Little Five Points, Atlanta, GA, USA",31/05/2014,
1576,"1st June 2014 @ New Brookland Tavern, West Columbia, SC, USA",1st June 2014 ," New Brookland Tavern, West Columbia, SC, USA",01/06/2014,
1577,"2nd June 2014 @ The Music Farm, Charleston, SC, USA",2nd June 2014 ," The Music Farm, Charleston, SC, USA",02/06/2014,
1578,"4th June 2014 @ 930 Club, Washington, DC, USA",4th June 2014 ," 930 Club, Washington, DC, USA",04/06/2014,
1579,"5th June 2014 @ Larimer Lounge, Denver, CO, USA",5th June 2014 ," Larimer Lounge, Denver, CO, USA",05/06/2014,
1580,"6th June 2014 @ Red Rocks Amphitheater, Morrison, CO, USA",6th June 2014 ," Red Rocks Amphitheater, Morrison, CO, USA",06/06/2014,
1581,"7th June 2014 @ Crossroads, Kansas City, MO, USA",7th June 2014 ," Crossroads, Kansas City, MO, USA",07/06/2014,
1582,"8th June 2014 @ Governors Ball, New York, NY, USA",8th June 2014 ," Governors Ball, New York, NY, USA",08/06/2014,
1583,"12th June 2014 @ Bergen Festival, Bergen, Norway",12th June 2014 ," Bergen Festival, Bergen, Norway",12/06/2014,
1584,"14th June 2014 @ Fete De La Musique, Dudelange, Luxembourg",14th June 2014 ," Fete De La Musique, Dudelange, Luxembourg",14/06/2014,
1585,"5th July 2014 @ Sonisphere Festival, Knebworth, UK",5th July 2014 ," Sonisphere Festival, Knebworth, UK",05/07/2014,
1586,"11th July 2014 @ BBK Live Festival, Bilbao, Spain",11th July 2014 ," BBK Live Festival, Bilbao, Spain",11/07/2014,
1587,"12th July 2014 @ Wakestock Festival, Abersoch, UK",12th July 2014 ," Wakestock Festival, Abersoch, UK",12/07/2014,
1588,"18th July 2014 @ Larmer Tree Festival, Salisbury, UK",18th July 2014 ," Larmer Tree Festival, Salisbury, UK",18/07/2014,
1589,"20th July 2014 @ Deichbrand Festival, Germany",20th July 2014 ," Deichbrand Festival, Germany",20/07/2014,
1590,"25th July 2014 @ Acoustic Lakeside Festival, Klagenfurt, Austria",25th July 2014 ," Acoustic Lakeside Festival, Klagenfurt, Austria",25/07/2014,
1591,"26th July 2014 @ Das Fest, Karlsruhe, Germany",26th July 2014 ," Das Fest, Karlsruhe, Germany",26/07/2014,
1592,"27th July 2014 @ Eier Mit Speck, Viersen, Germany",27th July 2014 ," Eier Mit Speck, Viersen, Germany",27/07/2014,
1593,"1st August 2014 @ Standon Calling Festival, Hertfordshire, UK",1st August 2014 ," Standon Calling Festival, Hertfordshire, UK",01/08/2014,
1594,"2nd August 2014 @ Kendal Calling Festival, Cumbria, UK",2nd August 2014 ," Kendal Calling Festival, Cumbria, UK",02/08/2014,
1595,"3rd August 2014 @ Y Not Festival, Derbyshire, UK",3rd August 2014 ," Y Not Festival, Derbyshire, UK",03/08/2014,
1596,"6th August 2014 @ Roof of John Lewis, London, UK",6th August 2014 ," Roof of John Lewis, London, UK",06/08/2014,
1597,"10th August 2014 @ Open Flair Festival, Eschwege, Germany",10th August 2014 ," Open Flair Festival, Eschwege, Germany",10/08/2014,
1598,"11th August 2014 @ Hirsch, Nuremberg, Germany",11th August 2014 ," Hirsch, Nuremberg, Germany",11/08/2014,
1599,"12th August 2014 @ Ostwerk, Augsburg, Germany",12th August 2014 ," Ostwerk, Augsburg, Germany",12/08/2014,
1600,"14th August 2014 @ Pukkelpop Festival, Hasselt, Belgium",14th August 2014 ," Pukkelpop Festival, Hasselt, Belgium",14/08/2014,
1601,"15th August 2014 @ Highfield Festival, Germany",15th August 2014 ," Highfield Festival, Germany",15/08/2014,
1602,"16th August 2014 @ Gampel Open Air Festival, Switzerland",16th August 2014 ," Gampel Open Air Festival, Switzerland",16/08/2014,
1603,"17th August 2014 @ Gamescom, Koln, Germany",17th August 2014 ," Gamescom, Koln, Germany",17/08/2014,
1604,"20th August 2014 @ Crashfest, Hamburg, Germany",20th August 2014 ," Crashfest, Hamburg, Germany",20/08/2014,
1605,"28th August 2014 @ Old No 7 Bar, Barnsley, UK",28th August 2014 ," Old No 7 Bar, Barnsley, UK",28/08/2014,
1606,"4th September 2014 @ St Vitus, Brooklyn, NY, USA",4th September 2014 ," St Vitus, Brooklyn, NY, USA",04/09/2014,
1607,"11th September 2014 @ UEA, Norwich, UK",11th September 2014 ," UEA, Norwich, UK",11/09/2014,
1608,"12th September 2014 @ Demontfort Hall, Leicester, UK",12th September 2014 ," Demontfort Hall, Leicester, UK",12/09/2014,
1609,"13th September 2014 @ City Hall, Salisbury, UK",13th September 2014 ," City Hall, Salisbury, UK",13/09/2014,
1610,"14th September 2014 @ Invictus Games, Olympic Park, London, UK",14th September 2014 ," Invictus Games, Olympic Park, London, UK",14/09/2014,
1611,"14th September 2014 @ On Blackheath Festival, London, UK",14th September 2014 ," On Blackheath Festival, London, UK",14/09/2014,
1612,"15th September 2014 @ The Alban Arena, St Albans, UK",15th September 2014 ," The Alban Arena, St Albans, UK",15/09/2014,
1613,"16th September 2014 @ The Corn Exchange, Cambridge, UK",16th September 2014 ," The Corn Exchange, Cambridge, UK",16/09/2014,
1614,"18th September 2014 @ The Roadmender, Northampton, UK",18th September 2014 ," The Roadmender, Northampton, UK",18/09/2014,
1615,"19th September 2014 @ The Pavilion, Bath, UK",19th September 2014 ," The Pavilion, Bath, UK",19/09/2014,
1616,"20th September 2014 @ Westlands, Yeovil, UK",20th September 2014 ," Westlands, Yeovil, UK",20/09/2014,
1617,"21st September 2014 @ Looe Festival, Cornwall, UK",21st September 2014 ," Looe Festival, Cornwall, UK",21/09/2014,
1618,"22nd September 2014 @ The Lemon Grove, Exeter, UK",22nd September 2014 ," The Lemon Grove, Exeter, UK",22/09/2014,
1619,"24th September 2014 @ Borough Hall, Hartlepool, UK",24th September 2014 ," Borough Hall, Hartlepool, UK",24/09/2014,
1620,"25th September 2014 @ The Alhambra, Dunfermline, UK",25th September 2014 ," The Alhambra, Dunfermline, UK",25/09/2014,
